Topic No.,TopicName,Category
0,Model Analysis,Tutorial
1,Microarray Analysis,Gene Expression
2,Feature Manipulation,BioData Processing
3,Data Sampling,BioData Processing
4,Statistical Significance,Statistical approach
5,Activation Function,Tutorial
6,Hypothesis Testing,Statistical approach
7,Process Analysis,Statistical approach
8,Mathmatical Expressions,Gene Expression
9,Model Analysis,Tutorial
10,Conditional Probablity,Gene Expression
11,Testing Techniques,Statistical approach
12,Re-scaling Data,BioData Processing
13,False-Discovery Rate,Statistical approach
